shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s2_shot_24,121.5,14.5,-11.2,3173,-6.8,182.3,183.0,-0.7,188.7,5.7,195.5,192.8,2.7,13.2,9.8,3.4,63.0,64.6,-1.6,D-S4-V1-P1,6.4,regime,true,pass
checked_test_shot,75.0,38.5,1.4,10701,5.7,77.0,77.6,-0.6,77.0,-0.6,78.6,77.5,1.1,1.6,-0.1,1.7,70.8,79.5,-8.7,W-S1-V4-P4,,,false,pass
s2_shot_15,88.1,14.2,-0.3,4985,19.4,100.7,101.3,-0.6,100.7,-0.6,100.8,113.1,-12.3,0.1,11.8,-11.7,27.0,28.9,-1.9,I-S2-V1-P2,,,false,severe
topped_test_shot,91.8,5.0,-0.9,2195,16.2,55.6,56.2,-0.6,55.6,-0.6,109.2,95.3,13.9,53.6,39.1,14.5,4.2,4.3,-0.1,I-S2-V0-P0,,,false,severe
s3_shot_6i_39,61.0,6.1,10.3,3285,22.0,23.5,24.0,-0.5,23.5,-0.5,53.7,47.3,6.4,30.2,23.3,6.9,2.1,2.1,0.0,I-S1-V0-P1,,,false,moderate
s3_shot_7i_25,83.3,13.2,3.0,3410,17.8,86.4,86.9,-0.5,86.4,-0.5,86.8,104.8,-18.0,0.4,17.9,-17.5,21.0,20.1,0.9,I-S1-V1-P1,,,false,severe
s2_shot_16,94.1,19.1,-5.9,5291,5.0,124.7,124.3,0.4,124.7,0.4,130.3,128.1,2.2,5.6,3.8,1.8,52.1,55.3,-3.2,I-S2-V2-P2,,,false,pass
s3_shot_6i_50,82.8,14.8,-1.4,3783,2.8,92.8,93.2,-0.4,92.8,-0.4,95.3,107.4,-12.1,2.5,14.2,-11.7,29.5,25.6,3.9,I-S1-V1-P1,,,false,severe
s3_shot_7i_34,104.2,14.7,-4.6,4081,1.9,142.9,142.5,0.4,146.9,4.4,153.2,150.6,2.6,10.3,8.1,2.2,51.3,48.2,3.1,I-S2-V1-P2,4.0,regime,true,pass
driver1,124.0,9.4,-9.5,2322,-24.8,158.3,158.0,0.3,158.3,0.3,158.3,184.0,-25.7,0.0,26.0,-26.0,29.5,30.2,-0.7,D-S4-V0-P0,,,false,severe
s2_shot_14,87.1,22.4,-2.0,5660,11.4,111.1,110.9,0.2,111.1,0.2,115.3,113.7,1.6,4.2,2.8,1.4,50.0,55.9,-5.9,I-S2-V2-P3,,,false,pass
s2_shot_20,120.9,15.0,-3.0,4245,9.6,179.6,179.4,0.2,186.6,7.2,196.4,185.3,11.1,16.8,5.9,10.9,70.5,72.3,-1.8,D-S4-V1-P2,7.0,regime,true,severe
bump_and_run,58.3,15.6,-0.8,1850,2.3,43.7,43.8,-0.1,34.7,-9.1,34.5,62.0,-27.5,-9.2,18.2,-27.4,8.0,10.1,-2.1,C-S0-V1-P0,-9.0,shot,true,severe
s3_shot_3w_19,121.3,5.6,-4.8,1662,-11.9,120.5,120.6,-0.1,120.5,-0.1,182.5,165.8,16.7,62.0,45.2,16.8,12.3,12.2,0.1,D-S4-V0-P0,,,false,severe
s3_shot_pw_65,81.2,28.4,2.9,6959,9.4,98.4,98.5,-0.1,98.4,-0.1,104.1,99.4,4.7,5.7,0.9,4.8,61.8,65.6,-3.8,I-S1-V3-P3,,,false,pass
approach_mid_iron_test_shot,93.9,22.9,-2.6,5375,2.0,125.8,125.8,0.0,125.8,0.0,136.4,128.5,7.9,10.6,2.7,7.9,64.6,69.3,-4.7,I-S2-V2-P2,,,false,moderate
bump_test_shot,78.3,5.6,-0.8,1850,2.3,39.0,39.0,0.0,36.9,-2.1,86.8,74.0,12.8,47.8,35.0,12.8,3.0,3.1,-0.1,I-S1-V0-P0,-2.1,shot,true,severe
p_wedge_shot_1,82.3,26.5,-3.1,4946,6.7,104.5,104.5,0.0,100.2,-4.3,109.5,107.3,2.2,5.0,2.8,2.2,55.1,60.5,-5.4,I-S1-V3-P2,-4.3,shot,true,pass
s2_shot_10,89.7,25.5,-3.1,6446,6.2,115.1,115.1,0.0,119.1,4.0,127.1,116.4,10.7,12.0,1.3,10.7,66.2,72.0,-5.8,I-S2-V3-P3,4.0,regime,true,severe
s2_shot_11,78.5,29.6,4.3,7350,10.7,93.0,93.0,0.0,91.3,-1.7,95.6,93.6,2.0,2.6,0.6,2.0,59.6,64.0,-4.4,I-S1-V3-P3,-1.7,shot,true,pass
s2_shot_17,122.9,14.4,-1.3,4119,6.7,184.0,184.0,0.0,191.2,7.2,199.5,190.3,9.2,15.5,6.3,9.2,68.2,71.8,-3.6,D-S4-V1-P2,7.2,regime,true,moderate
s3_shot_3w_22,108.9,5.6,-7.2,2501,-1.8,103.2,103.2,0.0,106.3,3.1,161.5,141.3,20.2,58.3,38.1,20.2,11.0,10.5,0.5,I-S3-V0-P1,3.1,shot,true,severe
s3_shot_5i_10,88.0,14.2,1.2,4065,8.4,103.1,103.1,0.0,106.1,3.0,109.6,116.7,-7.1,6.5,13.6,-7.1,34.3,28.4,5.9,I-S2-V1-P2,3.0,shot,true,moderate
s3_shot_5i_11,90.6,14.4,-0.2,3360,7.8,108.8,108.8,0.0,105.6,-3.2,106.9,124.1,-17.2,-1.9,15.3,-17.2,28.5,29.8,-1.3,I-S2-V1-P1,-3.2,shot,true,severe
s3_shot_5i_13,75.0,8.0,2.5,3921,3.4,53.9,53.9,0.0,56.5,2.6,89.0,78.9,10.1,35.1,25.0,10.1,7.4,6.8,0.6,I-S1-V0-P1,2.6,shot,true,severe
s3_shot_5i_15,86.9,9.3,-4.0,2509,-4.9,78.6,78.6,0.0,74.1,-4.5,121.3,106.6,14.7,42.7,28.0,14.7,11.0,12.1,-1.1,I-S2-V0-P1,-4.5,shot,true,severe
s3_shot_5i_17,56.5,10.0,24.1,5178,29.1,30.6,30.6,0.0,28.6,-2.0,45.0,46.9,-1.9,14.4,16.3,-1.9,4.2,4.5,-0.3,C-S0-V1-P2,-2.0,shot,true,pass
s3_shot_6i_35,80.5,15.3,-1.3,4667,-0.0,90.0,90.0,0.0,84.9,-5.1,84.9,101.5,-16.6,-5.1,11.5,-16.6,23.1,26.4,-3.3,I-S1-V1-P2,-5.1,shot,true,severe
s3_shot_6i_36,78.9,10.4,16.1,4166,25.1,67.8,67.8,0.0,69.9,2.1,68.3,89.1,-20.8,0.5,21.3,-20.8,12.4,11.8,0.6,I-S1-V1-P2,2.1,shot,true,severe
s3_shot_6i_37,82.6,10.2,11.0,3041,25.4,71.5,71.5,0.0,67.9,-3.6,109.4,97.2,12.2,37.9,25.7,12.2,11.0,11.8,-0.8,I-S1-V1-P1,-3.6,shot,true,severe
s3_shot_6i_38,79.1,13.3,3.0,3187,11.6,79.2,79.2,0.0,76.0,-3.2,76.2,97.5,-21.3,-3.0,18.3,-21.3,18.1,18.0,0.1,I-S1-V1-P1,-3.2,shot,true,severe
s3_shot_6i_41,82.5,9.9,-2.3,2620,13.6,71.3,71.3,0.0,66.7,-4.6,111.1,97.9,13.2,39.8,26.6,13.2,10.3,11.3,-1.0,I-S1-V0-P1,-4.6,shot,true,severe
s3_shot_6i_45,109.3,6.4,-9.0,2510,-10.9,109.6,109.6,0.0,113.1,3.5,166.5,145.4,21.1,56.9,35.8,21.1,13.5,12.9,0.6,I-S3-V0-P1,3.5,shot,true,severe
s3_shot_6i_49,71.2,7.7,16.1,2625,30.0,39.9,39.9,0.0,37.4,-2.5,77.3,70.3,7.0,37.4,30.4,7.0,4.2,4.5,-0.3,I-S1-V0-P1,-2.5,shot,true,moderate
s3_shot_7i_26,73.4,10.8,15.4,3561,30.0,56.6,56.6,0.0,58.4,1.8,57.5,79.3,-21.8,0.9,22.7,-21.8,10.7,9.6,1.1,I-S1-V1-P1,1.8,shot,true,severe
s3_shot_7i_31,76.4,17.5,-0.5,5122,1.8,85.0,85.0,0.0,80.2,-4.8,80.2,94.5,-14.3,-4.8,9.5,-14.3,24.3,28.4,-4.1,I-S1-V1-P2,-4.8,shot,true,severe
s3_shot_9i_1,89.0,15.1,-0.5,3563,11.3,106.7,106.7,0.0,105.3,-1.4,108.2,120.8,-12.6,1.5,14.1,-12.6,32.1,30.8,1.3,I-S2-V1-P1,-1.4,shot,true,severe
s3_shot_9i_2,71.3,23.9,5.5,4086,8.3,82.1,82.1,0.0,74.1,-8.0,78.3,87.4,-9.1,-3.8,5.3,-9.1,33.8,36.8,-3.0,I-S1-V2-P2,-8.0,shot,true,moderate
s3_shot_9i_5,84.0,19.4,3.8,5352,11.5,102.7,102.7,-0.0,100.1,-2.6,101.7,107.2,-5.5,-1.0,4.5,-5.5,36.3,41.8,-5.5,I-S1-V2-P2,-2.6,shot,true,moderate
s3_shot_driver_60,107.4,11.7,-8.6,3269,-14.8,138.5,138.5,0.0,138.5,0.0,138.9,153.8,-14.9,0.4,15.3,-14.9,31.6,34.0,-2.4,I-S3-V1-P1,,,false,severe
s3_shot_pw_64,69.6,28.6,0.2,5327,5.1,80.1,80.1,0.0,75.7,-4.4,92.0,82.4,9.6,11.9,2.3,9.6,42.7,46.4,-3.7,I-S1-V3-P2,-4.4,shot,true,moderate
s3_shot_pw_66,75.7,27.3,-1.2,6605,4.0,89.7,89.7,-0.0,87.1,-2.6,102.1,90.8,11.3,12.4,1.1,11.3,49.8,53.5,-3.7,I-S1-V3-P3,-2.6,shot,true,severe
s3_shot_pw_67,81.7,28.1,6.3,6510,12.7,100.0,100.0,0.0,100.0,0.0,106.8,101.1,5.7,6.8,1.1,5.7,61.0,65.0,-4.0,I-S1-V3-P3,,,false,moderate
s3_shot_pw_68,88.5,23.4,-0.1,6637,6.0,112.7,112.7,-0.0,116.1,3.4,120.2,114.1,6.1,7.5,1.4,6.1,57.2,63.4,-6.2,I-S2-V2-P3,3.4,shot,true,moderate
s3_shot_pw_69,74.1,23.6,0.2,5880,8.4,86.0,86.0,0.0,83.2,-2.8,84.9,88.8,-3.9,-1.1,2.8,-3.9,37.4,41.2,-3.8,I-S1-V2-P3,-2.8,shot,true,pass
wedge_shot_1,48.7,29.0,-1.3,5684,11.1,42.6,42.6,0.0,37.5,-5.1,46.2,46.9,-0.7,3.6,4.3,-0.7,18.9,21.3,-2.4,C-S0-V3-P3,-5.1,shot,true,pass
wedge_shot_2,51.8,37.0,2.4,5652,9.1,49.1,49.1,0.0,43.0,-6.1,52.8,50.1,2.7,3.7,1.0,2.7,31.1,35.3,-4.2,C-S0-V4-P3,-6.1,shot,true,pass
wedge_test_shot,66.4,23.2,-1.4,6449,7.1,70.6,70.6,0.0,65.6,-5.0,79.4,75.8,3.6,8.8,5.2,3.6,28.0,31.2,-3.2,I-S1-V2-P3,-5.0,shot,true,pass
wedge_test_shot2,54.7,26.8,1.6,4976,5.7,52.2,52.2,-0.0,46.8,-5.4,60.8,57.7,3.1,8.6,5.5,3.1,22.4,24.4,-2.0,C-S0-V3-P2,-5.4,shot,true,pass
