shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
shot_5i_13,75.0,8.0,2.5,3921,3.4,56.2,53.9,2.3,56.2,2.3,89.0,78.9,10.1,32.8,25.0,7.8,7.4,6.8,0.6,I-S1-V0-P1,,,false,severe
shot_5i_14,87.7,4.5,-7.7,3390,1.8,54.4,,,54.4,,97.9,,,43.5,,,4.0,,,I-S2-V0-P1,,,false,
shot_5i_15,86.9,9.3,-4.0,2509,-4.9,74.0,78.6,-4.6,74.0,-4.6,121.1,106.6,14.5,47.1,28.0,19.1,11.0,12.1,-1.1,I-S2-V0-P1,,,false,severe
shot_5i_16,98.0,9.1,-2.1,3776,1.7,110.0,109.1,0.9,110.0,0.9,109.0,130.0,-21.0,-1.0,20.9,-21.9,19.5,19.7,-0.2,I-S2-V0-P1,,,false,severe
shot_5i_17,56.5,10.0,24.1,5178,29.1,28.4,30.6,-2.2,28.4,-2.2,45.2,46.9,-1.7,16.8,16.3,0.5,4.2,4.5,-0.3,C-S0-V1-P2,,,false,pass
shot_6i_35,80.5,15.3,-1.3,4667,-0.0,89.5,90.0,-0.5,84.5,-5.5,84.5,101.5,-17.0,-5.0,11.5,-16.5,23.0,26.4,-3.4,I-S1-V1-P2,-5.0,regime,true,severe
shot_6i_36,78.9,10.4,16.1,4166,25.1,74.5,67.8,6.7,69.5,1.7,68.0,89.1,-21.1,-6.5,21.3,-27.8,12.4,11.8,0.6,I-S1-V1-P2,-5.0,regime,true,severe
shot_6i_37,82.6,10.2,11.0,3041,25.4,67.8,71.5,-3.7,67.8,-3.7,109.1,97.2,11.9,41.3,25.7,15.6,10.9,11.8,-0.9,I-S1-V1-P1,,,false,severe
shot_6i_38,79.1,13.3,3.0,3187,11.6,75.6,79.2,-3.6,75.6,-3.6,75.8,97.5,-21.7,0.2,18.3,-18.1,18.1,18.0,0.1,I-S1-V1-P1,,,false,severe
shot_6i_39,61.0,6.1,10.3,3285,22.0,23.5,24.0,-0.5,23.5,-0.5,53.7,47.3,6.4,30.2,23.3,6.9,2.1,2.1,0.0,I-S1-V0-P1,,,false,moderate
shot_6i_40,62.1,6.8,27.0,2768,30.0,24.9,26.2,-1.3,24.9,-1.3,58.8,51.1,7.7,33.9,24.9,9.0,2.6,2.5,0.1,I-S1-V0-P1,,,false,moderate
shot_6i_41,82.5,9.9,-2.3,2620,13.6,66.6,71.3,-4.7,66.6,-4.7,110.8,97.9,12.9,44.2,26.6,17.6,10.3,11.3,-1.0,I-S1-V0-P1,,,false,severe
shot_6i_42,77.2,13.1,-3.4,4057,4.1,80.2,76.6,3.6,75.2,-1.4,75.1,92.9,-17.8,-5.1,16.3,-21.4,18.2,17.5,0.7,I-S1-V1-P2,-5.0,regime,true,severe
shot_6i_43,94.1,13.9,-4.7,4616,1.7,118.9,117.3,1.6,122.9,5.6,128.4,128.6,-0.2,9.5,11.3,-1.8,42.8,35.0,7.8,I-S2-V1-P2,4.0,regime,true,pass
shot_6i_44,115.0,9.5,-6.7,2314,15.1,140.5,142.3,-1.8,140.5,-1.8,140.2,168.2,-28.0,-0.3,25.9,-26.2,25.2,26.6,-1.4,D-S3-V0-P0,,,false,severe
shot_6i_45,109.3,6.4,-9.0,2510,-10.9,112.6,109.6,3.0,112.6,3.0,165.8,145.4,20.4,53.2,35.8,17.4,13.4,12.9,0.5,I-S3-V0-P1,,,false,severe
shot_6i_46,116.3,13.7,0.3,3008,10.7,170.4,167.3,3.1,170.4,3.1,175.1,179.3,-4.2,4.7,12.0,-7.3,49.9,51.6,-1.7,D-S3-V1-P1,,,false,moderate
shot_6i_47,99.5,14.8,-2.9,4811,4.7,133.3,131.2,2.1,137.3,6.1,146.0,137.7,8.3,12.7,6.5,6.2,56.4,45.0,11.4,I-S2-V1-P2,4.0,regime,true,moderate
shot_6i_48,101.7,15.2,-3.0,4631,4.3,138.4,137.1,1.3,142.4,5.3,152.3,143.5,8.8,13.9,6.4,7.5,62.7,48.9,13.8,I-S2-V1-P2,4.0,regime,true,moderate
shot_6i_49,71.2,7.7,16.1,2625,30.0,37.4,39.9,-2.5,37.4,-2.5,77.2,70.3,6.9,39.8,30.4,9.4,4.2,4.5,-0.3,I-S1-V0-P1,,,false,moderate
shot_6i_50,82.8,14.8,-1.4,3783,2.8,92.3,93.2,-0.9,92.3,-0.9,94.9,107.4,-12.5,2.6,14.2,-11.6,29.4,25.6,3.8,I-S1-V1-P1,,,false,severe
shot_7i_25,83.3,13.2,3.0,3410,17.8,86.0,86.9,-0.9,86.0,-0.9,86.4,104.8,-18.4,0.4,17.9,-17.5,21.0,20.1,0.9,I-S1-V1-P1,,,false,severe
shot_7i_26,73.4,10.8,15.4,3561,30.0,58.1,56.6,1.5,58.1,1.5,57.2,79.3,-22.1,-0.9,22.7,-23.6,10.7,9.6,1.1,I-S1-V1-P1,,,false,severe
shot_7i_27,93.7,17.1,-1.4,4612,2.6,119.5,122.3,-2.8,123.5,1.2,133.0,128.3,4.7,13.5,6.0,7.5,53.7,46.0,7.7,I-S2-V1-P2,4.0,regime,true,pass
shot_7i_28,92.1,16.4,-3.6,4217,-0.4,114.4,117.9,-3.5,118.4,0.5,127.1,125.6,1.5,12.7,7.7,5.0,48.7,40.6,8.1,I-S2-V1-P2,4.0,regime,true,moderate
shot_7i_29,107.6,13.8,-6.0,3633,4.7,148.5,148.4,0.1,148.5,0.1,151.7,158.3,-6.6,3.2,9.9,-6.7,42.7,46.3,-3.6,I-S3-V1-P1,,,false,moderate
shot_7i_30,90.2,17.6,-3.8,4508,-0.2,110.7,115.4,-4.7,114.7,-0.7,122.7,121.7,1.0,12.0,6.3,5.7,48.4,43.1,5.3,I-S2-V1-P2,4.0,regime,true,moderate
shot_7i_31,76.4,17.5,-0.5,5122,1.8,84.8,85.0,-0.2,79.8,-5.2,79.8,94.5,-14.7,-5.0,9.5,-14.5,24.2,28.4,-4.2,I-S1-V1-P2,-5.0,regime,true,severe
